文献ID,中文题名,英文题名,期刊,年份,方法工具,公开代码URL数
LIT-067,独特的空间组织结构调控口腔黏膜免疫,Distinct spatial organization governs oral mucosal immunity,Nat Immunology,2026,Seurat;Scanpy;Harmony;Xenium Ranger;Xenium Explorer;scimap;scikit-learn;Ilastik;CellProfiler;MCQuant;Fiji(ImageJ);DecontX;DSB;DoubletFinder;FlowJo;Enrichr;OmniPath;Huygens;Imaris,1
LIT-068,由趋化因子定义的巨噬细胞生态位确立肿瘤免疫的空间组织结构,Chemokine-defined macrophage niches establish spatial organization of tumor immunity,Nat Immunology,2026,Seurat; Cell Ranger; Xenium Onboard Analysis; Xenium Explorer; ImageDimPlot; FlowJo,2
LIT-069,慢性阻塞性肺病中导致疾病异质性的异常细胞群,Aberrant cellular communities underlying disease heterogeneity in chronic obstructive pulmonary disease,Nat Genetics,2026,Seurat; Harmony; Azimuth; DoubletFinder; CellBender; Cell Ranger; sccomp; fGSEA; g:Profiler; WGCNA; ppcor; ClustOfVar; SNFtools; NicheNet; CellChat; Moran's I; spatialDWLS; Giotto; GeoMxTools; iDESC; Xenium Onboard Analysis; Xenium Explorer; Wilcoxon; Kruskal-Wallis,2
LIT-070,IN-DEPTH同片空间多组学整合揭示肿瘤病毒相关肿瘤微环境空间重组,Same-Slide Spatial Multi-Omics Integration With IN-DEPTH Reveals Tumor Virus-Linked Spatial Reorganization of the Tumor Microenvironment,Cancer Discovery,2026,Seurat; Harmony; Scanpy; Squidpy; Cellpose; QuPath; edgeR; Moran's I; Wilcoxon; Pearson; Spearman; IN-DEPTH; SGCC(BioGSP); SpaGFT; MESMER(DeepCell); PhenoGraph; MAPS; VALIS; ImageJ; GSVA; AUCell; cNMF; CIBERSORT; dtangle; MuSiC; SpatialDecon; standR/RUV4; scater; limma; ImpulseDE2; GSEApy; enrichR; Space Ranger; Cross-variogram; LSCI,2
LIT-071,乳腺癌和前列腺癌前期到癌症转变的空间映射,Spatial Mapping of the Precancer-to-Cancer Transition in Breast and Prostate,Cancer Discovery,2026,"Space Ranger; BigWarp(Fiji); U-Net(ResNet-18,PyTorch自训); QuPath; Imaris; scikit-image; scipy; Napari; ImageJ; Student's t-test",2
LIT-072,单细胞整合与多模态分析揭示结直肠癌中性粒细胞的表型与空间组织,Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer,bioRxiv(预印本),2025,Scanpy; scVI-tools(scVI/scANVI/scAR); Cell Ranger; Seurat; decontX; SingleR; Slingshot; tradeSeq; scVelo; Velocyto; PAGA; LIANA+; NicheCompass; NicheNet; OmniPath; Squidpy; SpatialData; Tangram; scSampler; DESeq2; decoupleR; PROGENy; CytoSig; CollecTRI; scCODA; CellProfiler; QuPath; Fiji/ImageJ; Xenium Onboard Analysis; Xenium Explorer; Shears; FastMNN; FlowJo; lifelines; statsmodels,3
LIT-073,将细胞类型解析的转录组谱映射到胰腺癌患者的生存,Mapping cell type-resolved transcriptomic profiles to patient survival in pancreatic cancer,Cancer Cell,2026,Seurat; Cell Ranger; Harmony; DoubletFinder; inferCNV; Slingshot; PAGA; Scanpy; clusterProfiler; AUCell; Semla; Xenium Onboard Analysis; Xenium Explorer; CellChat; NicheNet; Hotspot; phenoptr; QuPath; StarDist; scFEA; ARACNe-AP; VIPER; ssGSEA; DESeq2; Fiji; survival(Cox回归); SCTransform; MiniBatchKMeans(sklearn),1
LIT-074,结直肠癌宏观与微观转移的空间多组学景观,Spatial multi-omics landscape of colorectal cancer macro- and micrometastases,Cancer Cell,2026,Space Ranger; Seurat; BayesSpace; SpatialInferCNV; CytoTRACE; MEDICC2; CNVkit; Battenberg; ASCAT.sc; cell2location; RCTD; scANVI; Velocyto; scVelo; NMF(R包); GSVA; scalop; StarDist; Cellpose(CPSAM); SMURF; Harmony; QuPath; Mclust; lme4/lmerTest; ks(KDE); ggraph; survminer; survival; survcomp; STAR; RSEM; BWA-MEM; Loupe Browser; ComplexHeatmap; phangorn(Neighbor-Joining),1
LIT-075,人体脑血管的空间图谱揭示了特化的细胞群,Spatial atlas of the human brain vasculature reveals specialized cell ensembles,Cell,2026,Seurat;scVI-tools;Harmony;CellBender;DoubletFinder;SCTransform;CellRanger;Baysor;Xenium Onboard Analysis;Xenium Ranger;Xenium Explorer;BANKSY;Slingshot;Monocle3;UCell;CellChat;MAGMA;Drug2Cell;gprofiler2;enrichR;homologene;RANN;Spapros;SEACells;MungeSumStats;GraphPad;ImageJ,1
LIT-076,空间组学前沿综述：新兴技术分析创新与临床应用,"Spatial omics at the forefront: emerging technologies, analytical innovations, and clinical applications",Cancer Cell,2026,StarDist;Cellpose;DeepCell;Segger;SpotClean;BayesTME;SPLIT;SpaNorm;SpatialPCA;SpaGCN;TESLA;iSTAR;UNI;KRONOS;Bin2cell;SMURF;Spatial-ID;STANN;BANKSY;RCTD;SPOTlight;cell2location;Tangram;CytoSPACE;Spotiphy;ScType;Celloscope;TopACT;CellSP;Bento;PHOTON;CellPhoneDB;CellChat;Giotto;Squidpy;SOAPy;Spateo;CytoSignal;COMMOT;NCEMs;NEST;NicheNet;SpaTalk;UTAG;CellCharter;scNiche;NicheCompass;Monocle3;scVelo;Slingshot;CellRank;CytoTRACE;stLearn;TopoVelo;inferCNV;SpatialInferCNV;HoneyBADGER;copyKAT;STARCH;SCmut;scSNV;SComatic;stSNV;CODA;LOKI;GigaTIME;ROSIE;CellPLM;scGPT-spatial;NicheFormer;Novae;PASTE;STAligner;SpaMosaic;SpaMTP;MISO;WNN;CCA;RPCA;Harmony;Perturb-map;Perturb-FISH;BaSISS;HiPR-FISH;par-seqFISH,0
LIT-077,肺间质巨噬细胞亚群的分子与空间特化：超越趋化因子,Molecular and spatial specialization of lung interstitial macrophage subsets: beyond chemokines,Frontiers in Immunology,2026,Seurat;CellPhoneDB;Xenium Onboard Analysis;Xenium Explorer;FNN;MAGIC;SeuratExtend;scCustomize;ComplexHeatmap;Circlize;iTALK;CellRanger;FlowJo;ggplot2;Wilcoxon rank-sum test,1
LIT-078,胰腺癌的致癌和肿瘤抑制力量在良性到恶性转变的祖细胞生态位上汇聚,Oncogenic and tumor-suppressive forces converge on a progenitor niche at the benign-to-malignant transition,Cell,2026,Scanpy;CellBender;PhenoGraph;SEACells;CellRanger;inferCNV;DESeq2;diffxpy;gseapy;MAGIC;Palantir;batchelor;doubletdetection;Milo;Calligraphy;CellChat;OSLOM;ArchR;homer;decoupleR;nichenetr;AUCell;Enrichr;SEQC;SHARP;forceatlas2;Cellpose;Mesmer;SpatialData;QuPath;HALO;Xenium Designer;lifelines;GraphPad,1
LIT-079,单次溶瘤病毒治疗后胶质母细胞瘤中持续的T细胞激活与细胞毒性,Persistent T cell activation and cytotoxicity against glioblastoma following single oncolytic virus treatment in a clinical trial,Cell,2026,Xenium Onboard Analysis;Seurat;Harmony;Leiden;Uwot;XGBoost;Smart-seq2;immunoSEQ;CODEX Processor;CODEX Instrument Manager;ZEN;Wilcoxon signed-rank test;Wilcoxon rank-sum test;Spearman correlation;Kaplan-Meier;log-rank test,1
LIT-080,空间转录组图谱揭示 FoxO3 介导的线粒体动力学失衡驱动小鼠早发性卵巢功能不全,Spatial Transcriptomic Atlas Reveals That Forkhead Box O3-Mediated Mitochondrial Dynamics Imbalance Drives Premature Ovarian Insufficiency in Mice,Aging Cell,2026,Scanpy;Seurat;Leiden;Monocle3;CytoTRACE;Xenium Onboard Analysis;Xenium Explorer;DAVID;STRING;Cytoscape;ImageJ;FlowJo;SI-Recon;SPSS;Wilcoxon rank-sum test,0
LIT-081,一种基于空间可解释人工智能的框架，用于为HER2阳性乳腺癌患者量身定制新辅助双重HER2阻断治疗,Spatially interpretable artificial intelligence framework to tailored neoadjuvant dual HER2 blockade in HER2-positive breast cancer,Signal Transduction and Targeted Therapy,2026,HoVer-Net;D-PathAI;sc-MTOP;Seurat;Giotto;CellChat;scikit-learn;SHAP;Leiden;Wilcoxon,1
LIT-082,人类成人口腔内成纤维细胞驱动的免疫调节的整合单细胞与空间蛋白转录组学图谱,An integrated single-cell and spatial proteotranscriptomics atlas of fibroblast-driven immunoregulation within the human adult oral cavity,Cell Press Blue,2026,Seurat;Harmony;CellChat;CellPhoneDB;MultiNicheNet;Cellpose;QuPath;CellTypist;Wilcoxon;AstroSuite(TACIT/Constellation/STARComm);Drug2Cell;Trailmaker;scIB;Enrichr,1
LIT-084,高吞吐量亚细胞分辨率空间转录组平台的系统基准测试,Systematic Benchmarking of High-Throughput Subcellular Spatial Transcriptomics Platforms,bioRxiv,2024,Seurat;Scanpy;DoubletFinder;CellTypist;SELINA;Spoint;Tangram;TACCO;CellCharter;StarDist;QuPath;Xenium Onboard Analysis;Moran's I;Leiden;UMAP;scikit-learn,1
LIT-085,基于测序的空间转录组方法的系统比较,Systematic comparison of sequencing-based spatial transcriptomic methods,Nature Methods,2024,Seurat;DR.SC;PRECAST;CellChat;CellPhoneDB;Wilcoxon;ANOVA;dbscan;scPipe;spaceranger;STAR;biomaRt;UMAP,1
LIT-086,FFPE组织中成像式空间转录组平台的系统基准测试,Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues,Nature Communications,2025,Scanpy;Seurat;Harmony;Cellpose;Leiden;t-test;Spearman;ANOVA;Tukey HSD;Mann-Whitney U,1
LIT-087,CoCo-ST检测空间转录组学数据集中的全局和局部生物学结构,CoCo-ST detects global and local biological structures in spatial transcriptomics datasets,Nature Cell Biology,2025,Cell Ranger;Space Ranger;Seurat;CoCo-ST;RCTD;CellChat;Slingshot;Monocle3;Moran's I;gprofiler2;kBET;GraphST;SpaGCN;Giotto;STAGATE;BayesSpace;NSF;MEFISTO;cPCA;STUtility,1
LIT-088,通过质量评估和最佳实践分析工作流优化Xenium原位数据效用,Optimizing Xenium In Situ data utility by quality assessment and best-practice analysis workflows,Nature Methods,2025,Scanpy;Seurat;Squidpy;Giotto;Hotspot;SomDE;SpatialDE;Sinfonia;Cellpose;Baysor;MESMER;Watershed;Clustermap;SSAM;Points2Regions;TissUUmaps;gimVI;SpaGE;Tangram;LIGER;SpaOTsc;NovoSpaRc;BANKSY;DeepST;SpaGCN;SPACEL;STAGATE;Leiden;Louvain;Moran's I,1
LIT-089,基于FFPE肿瘤样本的成像式单细胞分辨率空间转录组平台对比,Comparison of imaging based single-cell resolution spatial transcriptomics profiling platforms using formalin-fixed paraffin-embedded tumor samples,Nature Communications,2025,Seurat;Harmony;Presto;Xenium Ranger;Cellpose;STAR;featureCounts;DESeq2;RUVg;HALO;napari;Wilcoxon,1
LIT-090,跨人肿瘤的高通量亚细胞分辨率空间转录组平台系统基准测试,Systematic benchmarking of high-throughput subcellular spatial transcriptomics platforms across human tumors,Nature Communications,2025,Cell Ranger;Space Ranger;SAW;Xenium Onboard Analysis;Atomx;StarDist;QuPath;napari-cosmx;OpenCV;scikit-learn;SimpleITK;pysam;Labelme;Scanpy;Seurat;DoubletFinder;SELINA;CellTypist;Spoint;Tangram;TACCO;CellCharter;clusterProfiler;Moran's I,1
LIT-091,通过单细胞和空间转录组学理解溃疡性结肠炎发病机制与药物反应的异质性,Understanding heterogeneity in the pathogenesis and drug responses of ulcerative colitis through single-cell and spatial transcriptomics,Frontiers in Immunology,2026,ISCHIA;TIMES score,0
LIT-092,利用体内单细胞功能基因组学描绘出生后心脏发育图谱,Charting Postnatal Heart Development Using In Vivo Single-Cell Functional Genomics,bioRxiv,2025,CytoSPACE;IKAP;SCENIC;Moran's I;WGCNA;Augur;SigNET;PIP-seq;10x Flex;T7E1;FACS;Wilcoxon;Random Forest;SHAP,0
